Family,Genus,SpecificEpithet,SubspecificEpithet,InfraspecificEpithet,InfraspecificRank,Authorship
Geometridae,Abraxas,grossulariata,,,,"(Linnaeus, 1758)"
Noctuidae,Abrostola,agnorista,,,,"Dufay, 1956"
Noctuidae,Abrostola,asclepiadis,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Abrostola,trigemina,,,,"(Werneburg, 1864)"
Noctuidae,Abrostola,tripartita,,,,"(Hufnagel, 1766)"
Noctuidae,Abrostola,triplasia,,,,"(Linnaeus, 1758)"
Psychidae,Acanthopsyche,atra,,,,"(Linnaeus, 1767)"
Geometridae,Acasis,appensata,,,,"(Eversmann, 1842)"
Geometridae,Acasis,viretata,,,,"(H\u00fcbner, 1799)"
Sphingidae,Acherontia,atropos,,,,"(Linnaeus, 1758)"
Drepanidae,Achlya,flavicornis,,,,"(Linnaeus, 1758)"
Noctuidae,Acontia,lucida,,,,"(Hufnagel, 1767)"
Noctuidae,Acosmetia,caliginosa,,,,"(H\u00fcbner, 1813)"
Noctuidae,Acronicta,aceris,,,,"(Linnaeus, 1758)"
Noctuidae,Acronicta,alni,,,,"(Linnaeus, 1767)"
Noctuidae,Acronicta,auricoma,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Acronicta,cinerea,,,,"(Hufnagel, 1766)"
Noctuidae,Acronicta,cuspis,,,,"(H\u00fcbner, 1813)"
Noctuidae,Acronicta,euphorbiae,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Acronicta,leporina,,,,"(Linnaeus, 1758)"
Noctuidae,Acronicta,megacephala,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Acronicta,menyanthidis,,,,"(Esper, 1789)"
Noctuidae,Acronicta,psi,,,,"(Linnaeus, 1758)"
Noctuidae,Acronicta,rumicis,,,,"(Linnaeus, 1758)"
Noctuidae,Acronicta,strigosa,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Acronicta,tridens,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Actebia,praecox,,,,"(Linnaeus, 1758)"
Noctuidae,Actinotia,polyodon,,,,"(Clerck, 1759)"
Noctuidae,Actinotia,radiosa,,,,"(Esper, 1798)"
Geometridae,Adactylotis,contaminaria,,,,"(H\u00fcbner, 1813)"
Zygaenidae,Adscita,alpina,,,,"(Alberti, 1937)"
Zygaenidae,Adscita,dujardini,,,,"Efetov & Tarmann, 2014"
Zygaenidae,Adscita,geryon,,,,"(H\u00fcbner, 1813)"
Zygaenidae,Adscita,mannii,,,,"(Lederer, 1853)"
Zygaenidae,Adscita,statices,,,,"(Linnaeus, 1758)"
Zygaenidae,Adscita,turcosa,,,,"Retzius, 1783"
Noctuidae,Aedia,funesta,,,,"(Esper, 1786)"
Noctuidae,Aedia,leucomelas,,,,"(Linnaeus, 1758)"
Geometridae,Aethalura,punctulata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Aetheria,bicolorata,,,,"(Hufnagel, 1766)"
Noctuidae,Aetheria,dysodea,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Aglais,urticae,,,,"(Linnaeus, 1758)"
Zygaenidae,Aglaope,infausta,,,,"(Linnaeus, 1767)"
Saturniidae,Aglia,tau,,,,"(Linnaeus, 1758)"
Lycaenidae,Agriades,dardanus,,,,"(Freyer, 1845)"
Lycaenidae,Agriades,diodorus,,,,"(Bremer, 1861)"
Lycaenidae,Agriades,glandon,,,,"(Prunner, 1798)"
Lycaenidae,Agriades,kurtjohnsoni,,,,"B\u00e1lint, 1997"
Lycaenidae,Agriades,orbitulus,,,,"(Esper, 1800)"
Lycaenidae,Agriades,pyrenaicus,,,,"(Boisduval, 1840)"
Lycaenidae,Agriades,zullichi,,,,"Hemming, 1933"
Geometridae,Agriopis,aurantiaria,,,,"(H\u00fcbner, 1799)"
Geometridae,Agriopis,bajaria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Agriopis,leucophaearia,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Agriopis,marginaria,,,,"(Fabricius, 1776)"
Sphingidae,Agrius,convolvuli,,,,"(Linnaeus, 1758)"
Noctuidae,Agrochola,circellaris,,,,"(Hufnagel, 1766)"
Noctuidae,Agrochola,dujardini,,,,"(Dufay, 1976)"
Noctuidae,Agrochola,helvola,,,,"(Linnaeus, 1758)"
Noctuidae,Agrochola,humilis,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Agrochola,laevis,,,,"(H\u00fcbner, 1803)"
Noctuidae,Agrochola,litura,,,,"Linnaeus, 1758"
Noctuidae,Agrochola,lota,,,,"(Clerck, 1759)"
Noctuidae,Agrochola,lychnidis,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Agrochola,macilenta,,,,"(H\u00fcbner, 1809)"
Noctuidae,Agrochola,nitida,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Agrochola,pistacinoides,,,,"(d'Aubuisson, 1867)"
Lycaenidae,Agrodiaetus,agestor,,,,"(Godart, 1824)"
Lycaenidae,Agrodiaetus,damon,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lycaenidae,Agrodiaetus,icarius,,,,"(Esper, 1793)"
Noctuidae,Agrotis,bigramma,,,,"(Esper, 1790)"
Noctuidae,Agrotis,cinerea,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Agrotis,clavis,,,,"(Hufnagel, 1766)"
Noctuidae,Agrotis,crassa,,,,"(H\u00fcbner, 1803)"
Noctuidae,Agrotis,exclamationis,,,,"(Linnaeus, 1758)"
Noctuidae,Agrotis,fatidica,,,,"(H\u00fcbner, 1824)"
Noctuidae,Agrotis,ipsilon,,,,"(Hufnagel, 1766)"
Noctuidae,Agrotis,obesa,,,,"(Boisduval, 1829)"
Noctuidae,Agrotis,puta,,,,"(H\u00fcbner, 1803)"
Noctuidae,Agrotis,ripae,,,,"H\u00fcbner, 1823"
Noctuidae,Agrotis,segetum,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Agrotis,simplonia,,,,"(Geyer, 1832)"
Noctuidae,Agrotis,trux,,,,"(H\u00fcbner, 1824)"
Noctuidae,Agrotis,vestigialis,,,,"(Hufnagel, 1766)"
Lycaenidae,Albulina,orbitulus,,,,"(Prunner, 1798)"
Lycaenidae,Albulina,pheretes,,,,"(H\u00fcbner, 1805)"
Geometridae,Alcis,bastelbergeri,,,,"(Hirschke, 1908)"
Geometridae,Alcis,jubata,,,,"(Thunberg, 1788)"
Geometridae,Alcis,maculata,,,,"Staudinger, 1892"
